,UNI,Status,JobType,Price (tax not included),Pricewithtax,Date,Time,Notes,Employee UNI,Paid/Unpaid,,,,,,,,,
clm2202_BMCE_DrawingsFinal.pdf,clm2202,Completed,Lightweight Bond,8,8.71,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
zlm2105_FinalMiddelfart Flat v3.pdf,zlm2105,Completed,Lightweight Bond,$8.00 ,8.71,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
LSM2152-DIAGRAMS,lsm2152,Completed,Lightweight Bond,16,17.42,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
"KSM2141-BOARD #2.pdf, KSM2141-BOARD#1.pdf",ksm2141,Completed,Lightweight Bond,$16.00 ,17.42,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
VRK2104 - MINE SECTION [Converted].pdf,vrk2104,Completed,Lightweight Bond,$8.00 ,8.71,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
ng2485_2014-01-30_precedent.pdf,ng2485,Completed,Lightweight Bond,$16.00 ,17.42,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
mwd2118_BankPrecedents.psd,mwd2118,Completed,Lightweight Bond,$16.00 ,17.42,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
VRK2104 - PRECEDENT LAYOUT.pdf,vrk2104,Completed,Lightweight Bond,$16.00 ,17.42,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
md3096_ObjectLesson1.pdf,md2096,Completed,Mylar,$18.00 ,19.60,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
bwp2110_SOM_Jeddah_Boards_vfinal.pdf,bwp2110,Completed,Mylar,$18.00 ,19.60,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
SL3618_object1 boards final.pdf,sl3618,Completed,Mylar,$18.00 ,19.60,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
lmw2167_pinitecture.pdf,lmw2167,Completed,Mylar,$18.00 ,19.60,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
su2179_objectlesson.psd,su2179,Problem: check email,Lightweight Bond,$8.00 ,8.71,1/31,2:28 PM,"file size too large to plot, please resend",kr2202,Unpaid,,,,,,,,,
hh2480 sugamo.jpg,hh2480,Completed,Lightweight Bond,$8.00 ,8.71,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
hh2480 kansai axon.jpg,hh2480,Completed,Lightweight Bond,$8.00 ,8.71,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
tsh2124 precedent reduce.pdf,tsh2124,Completed,Lightweight Bond,$8.00 ,8.71,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
dyk2111_HSBC.pdf,dyk2111,Completed,Lightweight Bond,$8.00 ,8.71,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
ng2485-2014-01-31-precedent all.pdf,ng2485,Completed,Lightweight Bond,$8.00 ,8.71,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
bwp2110_SOM_Jeddah_Boards_vfinal2.pdf,bwp2110,Completed,Mylar,$18.00 ,19.60,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
rw2531_prece.pdf,rw2531,Completed,Lightweight Bond,$8.00 ,8.71,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
dyk2111_Sugamo.pdf,dyk2111,Completed,Lightweight Bond,$8.00 ,8.71,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
rw2531_pre2.pdf,rw2531,Completed,Lightweight Bond,$8.00 ,8.71,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
su2179_objectlesson_reduced.psd,su2179,Completed,Mylar,$18.00 ,19.60,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
MerchantBank_Final_nma2138-02 (1).pdf,nma2138,Completed,Heavyweight Bond,$6.00 ,6.53,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
MerchantBank_Final_nma2138_ForPhoto.pdf,nma2138,Completed,Heavyweight Bond,$12.00 ,13.07,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
jmm2361_board1precedent.pdf,jmm2361,Completed,"Satin ""Semi"" Gloss",$27.00 ,29.40,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
bfg_2110_BANK_PRE_Flossers_002.ai,bfg2110,Completed,Mylar,$18.00 ,19.60,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
SAT2174 Clip Mesh Boards (2).pdf,sat2174,Completed,Heavyweight Bond,$12.00 ,13.07,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
MI2323_PLOT_48 by 36.pdf,mi2323,Completed,Heavyweight Bond,$24.00 ,26.13,1/31,2:28 PM,,kr2202,Paid,,,,,,,,,
BINDERCLIP_PRINT.pdf,,Cancelled: no UNI,,$0.00 ,0.00,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
eem2163_plot.pdf,eem2163,Completed,Heavyweight Bond,$12.00 ,13.07,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
vl2302 140131 mabel object pin up.pdf,vl2302,Completed,Mylar,$18.00 ,19.60,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
MI2323_PLOT_48 by 36.pdf,mi2323,Completed,Heavyweight Bond,$24.00 ,26.13,1/31,2:28 PM,,kr2202,Paid,,,,,,,,,
lmm2276_zipties.jpg,lmm2276,Completed,Lightweight Bond,$8.00 ,8.71,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
"EKY2104_BOARD 2 MIDDELFART.pdf, EKY2104_BOARD 2 MIDDELFART.pdf, eky2104_precedentpinup.pdf",eky2104,Completed,Lightweight Bond,$24.00 ,26.13,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
gkg2109 object board 1.pdf,gkg2109,Completed,Lightweight Bond,,0.00,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
lmd2187 - Object Lesson Boards.pdf,lmd2187,Completed,Lightweight Bond,,0.00,1/31,2:28 PM,,kr2202,Unpaid,,,,,,,,,
jmm2361_board2sugamoshinkinshimuraplan.pdf,jmm2361,Completed,"Satin ""Semi"" Gloss",$56.00 ,60.97,1/31,2:28 PM,,kr2202,Paid,,,,,,,,,
web2117 Precedent Study.pdf,web2117,Completed,"Satin ""Semi"" Gloss",$36.00 ,39.20,1/31,2:28 PM,,kr2202,Paid,,,,,,,,,
MerchantBank_Final_nma2138-02_FINAL.pdf,nma2138,Completed,Heavyweight Bond,$6.00 ,6.53,1/31,2:28 PM,12x36,kr2202,Unpaid,,,,,,,,,
,,,,,,2/1,,,,,,,,,,,,,
ec2950_24x36_2014-02-01.pdf,ec2950,Completed,"Satin ""Semi"" Gloss",$72.00 ,78.39,2/2,2:28 PM,4 (24x36),scc2159,Unpaid,,,,,,,,,
        black_dg2744.pdf,dg2744,Completed,Lightweight Bond,$8.00 ,8.71,2/2,2:28 PM,19x19,scc2159,Paid,,,,,,,,,
1_200_site Model (1).pdf,,Cancelled: no UNI,,,0.00,2/2,2:28 PM,,scc2159,Unpaid,,,,,,,,,
bg2464_site Model.pdf,bg2464,Completed,Lightweight Bond,$16.00 ,17.42,2/2,2:28 PM,36x48,scc2159,Paid,,,,,,,,,
sat2174 ADR Map.pdf,sat2174,Completed,Mylar,$18.00 ,19.60,2/2,2:28 PM,36x19,scc2159,Paid,,,,,,,,,
ljj2112 Site Image.pdf,ljj2112,Completed,Lightweight Bond,$8.00 ,8.71,2/2,2:28 PM,30 x 20 in,xf2130,Unpaid,,,,,,,,,
hwr2105_SiteCollage.psd,hwr2105,Completed,Heavyweight Bond,$18.00 ,19.60,2/2,2:28 PM,24x36 rotated incorrectly,lmw2163,Unpaid,,,,,,,,,
rfd2119_maps.pdf,rfd2119,Completed,Mylar,$27.00 ,29.40,2/2,2:28 PM,36x36,mih2113,Paid,,,,,,,,,
Full page photoavd2116,avd2116,Completed,Lightweight Bond,$8.00 ,8.71,2/2,2:28 PM,36x24,sjh2175,Paid,,,,,,,,,
Print,,Cancelled: no UNI,,,0.00,2/2,2:28 PM,,sjh2175,Student Error,,,,,,,,,
,,,,,,2/3,,,,,,,,,,,,,
ng2485_siteimages.pdf,ng2485,Completed,Lightweight Bond,$8.00 ,8.71,2/4,2:28 PM,36x24,kir2108,Paid,,,,,,,,,
ksm2141 - ADR assignment #1.pdf,ksm2141,Completed,Mylar,$18.00 ,19.60,2/4,,18x18,kir2109,Paid,,,,,,,,,
oil_print_mi2323.pdf,mi2323,Completed,Lightweight Bond,$8.00 ,8.71,2/4,,24x36,kir2108,Unpaid,,,,,,,,,
Assignment_1a.pdf,,Cancelled: no UNI,,,0.00,2/4,,,xf2130,,,,,,,,,,
bg2464_Assignment_1a.pdf,bg2464,Completed,Lightweight Bond,,0.00,2/4,,,xf2130,Paid,,,,,,,,,
lim-lu_1.pdf,,Cancelled: no UNI,,,0.00,2/4,,,,,,,,,,,,,
"thh2111_lim-lu_1.pdf, thh2111_lim-lu_2.pdf, thh2111_lim-lu_3.pdf, thh2111_lim-lu_4.pdf,",thh2111,Completed,"Satin ""Semi"" Gloss",$72.00 ,78.39,2/4,,24x36,xf2130,Paid,,,,,,,,,
"jwl2158_DMprint_1.psd
",jwl2158,Completed,Heavyweight Bond,$24.00 ,26.13,2/4,6:26 PM,(24x36)x2,cba2117,,,,,,,,,,
cy2348_Arch_D.pdf,cy2348,Completed,Lightweight Bond,$16.00 ,17.42,2/4,,24x36(2),drp2122,Paid,,,,,,,,,
Microsoft Word - OJArtCulturalGBXUsesExistingandPotential,,Cancelled: no UNI,Lightweight Bond,,0.00,2/4,,,drp2122,Unpaid,,,,,,,,,
lv2311_WorkFlow1-2.pdf,lv2311,Completed,Heavyweight Bond,$36.00 ,39.20,2/5,,25x36 rotated incorrectly,drp2122,unpaid,,,,,,,,,
sl3362_2014-02-05_Assignment1.pdf,sl3362,Incorrect size 13x19,Heavyweight Bond,,0.00,2/5,,,web2117,Student Error,,,,,,,,,
"Process Diagram.pdf, Component Diagram.pdf",,Cancelled: no UNI,Heavyweight Bond,,0.00,2/5,,,web2117,Student Error,,,,,,,,,
sl3531_CBIP.ai,sl3531,Completed,Lightweight Bond,$16.00 ,17.42,2/5,,24x36 (x2),drp2122,Unpaid,,,,,,,,,
lll2148.pdf,lll2148,Completed,Lightweight Bond,$16.00 ,17.42,2/5,,24x36 x2,drp2122,Paid,,,,,,,,,
"cl2986_Work_Flow_Component.pdf, cl2986_Work_Flow_FRI.pdf",cl2986,Completed,Mylar,$36.00 ,39.20,2/5,11:36 AM,24x36 (x2),web2117,Paid,,,,,,,,,
hk2728 workflow 0205.pdf,hk2728,Completed,Heavyweight Bond,$24.00 ,26.13,2/5,,36x48,drp2122,Paid,,,,,,,,,
af2686_Albert_Franco_CBIP_Assignementpage01-02 .pdf,af2686,Rotate plot,Heavyweight Bond,,0.00,2/5,,,,Student Error,,,,,,,,,
20140205_Workflow.pdf,,Cancelled: no UNI,Lightweight Bond,,0.00,2/5,,,web2117,Student Error,,,,,,,,,
YL3037.pdf,yl3037,Completed,Lightweight Bond,$16.00 ,17.42,2/5,,36x24 (2),drp2122,Paid,,,,,,,,,
sl3362_2014-02-05_Assignment1.pdf,sl3362,Completed,Heavyweight Bond,$24.00 ,26.13,2/5,,36x24 (2),web2117,Paid,,,,,,,,,
"af2686_Albert_Franco_CBIP_Assignement page01.pdf, af2686_Albert_Franco_CBIP_Assignementpage02 .pdf",af2686,Completed,Heavyweight Bond,$24.00 ,26.13,2/5,,36x24 (2),web2117,Paid,,,,,,,,,
Eidos_Parametric_Workflow.pdf,,Cancelled: no UNI,Lightweight Bond,,0.00,2/5,,,web2117,Student Error,,,,,,,,,
"CDB2151_Eidos_Parametric_Workflow.pdf, CDB2151_Eidos_Component_Workflow.pdf",cbd2151,Completed,Lightweight Bond,$16.00 ,17.42,2/5,,36x24 (2),web2117,Paid,,,,,,,,,
"spo2107_ProcessDiagram.pdf, spo2107_ComponentDiagram.pdf",spo2107,Completed,Heavyweight Bond,$24.00 ,26.13,2/5,,36x24 x2,web2117,Paid,,,,,,,,,
tkt2111_Diagram_0205_36x24.pdf,tkt2111,Completed,Lightweight Bond,$16.00 ,17.42,2/5,,36x24 x2,web2117,Paid,,,,,,,,,
"MH3284_ProjectWorkflow.pdf, MH3284_ComponentWorkflow.pdf",mh3284,Completed,Lightweight Bond,$16.00 ,17.42,2/5,,36x24 x2,web2117,Unpaid,,,,,,,,,
rjs2202_workflow_diagrams.pdf,rjs2202,Completed,Lightweight Bond,$16.00 ,17.42,2/5,,36 x 48,web2117,Paid,,,,,,,,,
3. Somol and Whiting_Doppler.pdf,,Cancelled: no UNI,Heavyweight Bond,,0.00,2/5,,,web2117,Student Error,,,,,,,,,
1. AZP_HokusaiWave.pdf,,Cancelled: no UNI,Heavyweight Bond,,0.00,2/5,,,web2117,Student Error,,,,,,,,,
HL2689_0225PINUP.pdf,hl2689,Completed,Lightweight Bond,$8.00 ,8.71,2/5,,18x24,web2117,Paid,,,,,,,,,
myr2107_workflow1,myr2107,Completed,Heavyweight Bond,$6.00 ,6.53,2/5,,36x24,web2117,Paid,,,,,,,,,
NS2950.pdf,NS2950,Completed,Lightweight Bond,$16.00 ,17.42,2/5,,24x36 (x2),Diana,Unpaid,,,,,,,,,
JIR2119_24x36_ADVC.pdf,jir2119,Completed,Lightweight Bond,$8.00 ,8.71,2/5,,24x36,mih2113,Paid,,,,,,,,,
TLG2130_ Drawing One [Converted].pdf,tlg2130,Completed,Heavyweight Bond,$12.00 ,13.07,2/6,,36*24,sl3530,Unpaid,,,,,,,,,
Full page photo,,Cancelled: no UNI,,,0.00,2/6,,,,,,,,,,,,,
avd2116_timeline.pdf,avd2116,Completed,Mylar,$18.00 ,19.60,2/6,,36*24,hk2658,Unpaid,,,,,,,,,
wsb2119-MemoryMap.pdf,wsb2119,Completed,Heavyweight Bond,$6.00 ,6.53,2/7,,36 x 12,hk2658,Unpaid,,,,,,,,,
jwl2158_siteanalysis.pdf,jwl2105,Completed,Lightweight Bond,$8.00 ,8.71,2/7,,,kr2202,Unpaid,,,,,,,,,
ahy2105_fuq.pdf,ahy2105,Completed,Lightweight Bond,$12.00 ,13.07,2/7,,,kr2202,Unpaid,,,,,,,,,
JL4137_zoningmapping.pdf,jl4137,Completed,Lightweight Bond,$12.00 ,13.07,2/7,,,kr2202,Unpaid,,,,,,,,,
SiteAnalysis_ls3078.pdf,Ls 3078,Completed,Lightweight Bond,$12.00 ,13.07,2/7,,,kr2202,Unpaid,,,,,,,,,
MWD2118_SiteDraft1.pdf,mwd2118,Completed,Lightweight Bond,$8.00 ,8.71,2/7,,,kr2202,Unpaid,,,,,,,,,
Laf2124_Site Mapping.pdf,laf2124,Completed,Lightweight Bond,$8.00 ,8.71,2/7,,,kr2202,Unpaid,,,,,,,,,
aco2125 - site mapping,aco2125,Completed,Lightweight Bond,$8.00 ,8.71,2/7,,,kr2202,Unpaid,,,,,,,,,
"MHK2148_BOARD_36X36_1.pdf, MHK2148_BOARD_ 20X42_2.pdf, _3, _4, _5",mhk2148,Completed,Lightweight Bond,$64.00 ,69.68,2/7,,,kr2202,Unpaid,,,,,,,,,
avd2116_bckgrd.pdf,avd2116,Completed,Lightweight Bond,$8.00 ,8.71,2/7,,,kr2202,Unpaid,,,,,,,,,
"bj2306_analysis_site1.pdf, _site2",bj2116,Completed,Heavyweight Bond,$24.00 ,26.13,2/7,,,kr2202,Unpaid,,,,,,,,,
JCC2242_INFRASTRUCTURE.pdf,jcc2242,Completed,Heavyweight Bond,$18.00 ,19.60,2/7,,,kr2202,Unpaid,,,,,,,,,
yg2341_1024 map.pdf,yg2341,Completed,Heavyweight Bond,$12.00 ,13.07,2/7,,,kr2202,Unpaid,,,,,,,,,
ENVIRONMENT_Bj2188.pdf,bj2188,Completed,Heavyweight Bond,$18.00 ,19.60,2/7,,,kr2202,Paid,,,,,,,,,
pam2176_BOARDS_2.pdf,pam2176,Completed,Heavyweight Bond,$24.00 ,26.13,2/7,,,kr2202,Unpaid,,,,,,,,,
jd3060_pin up boards.ai,jd3060,Completed,Heavyweight Bond,$18.00 ,19.60,2/7,,,kr2202,paid,,,,,,,,,
bpv2102_phase3_pinup.pdf,bvp2102,Completed,Heavyweight Bond,$36.00 ,39.20,2/7,,,kr2202,Unpaid,,,,,,,,,
gjp2124 Phase_3 Boards.pdf,gyp2124,Resend: Incorrect size 13x19,Heavyweight Bond,,0.00,2/7,,,kr2202,Unpaid,,,,,,,,,
4_Best.pdf,eo2319,Cancelled: no UNI,Heavyweight Bond,,0.00,2/7,,,kr2202,Unpaid,,,,,,,,,
Phase_Two_Diagram_Final_small (1).pdf,eo2319,Cancelled: no UNI,Heavyweight Bond,,0.00,2/7,,,kr2202,Unpaid,,,,,,,,,
Rwt2110_Jerusalem Studio_Memory_020714.pdf,rwt2110,Completed,Heavyweight Bond,$18.00 ,19.60,2/7,,,kr2202,Unpaid,,,,,,,,,
mil2119.CoreIIProj1-Pinup2.7.14.indd,mil2119,Completed,Heavyweight Bond,$24.00 ,26.13,2/7,,,kr2202,Unpaid,,,,,,,,,
bwp2110_site_analysis.pdf,bwp2110,Completed,Heavyweight Bond,$12.00 ,13.07,2/7,,,kr2202,Unpaid,,,,,,,,,
finalsite.ak3266.pdf,ak3266,Completed,Heavyweight Bond,$12.00 ,13.07,2/7,,,kr2202,Unpaid,,,,,,,,,
"rbw2132_translationsyntax1.pdf, rbw2132_translation2d2.pdf",rbw2132,Completed,Heavyweight Bond,$24.00 ,26.13,2/7,,,kr2202,Unpaid,,,,,,,,,
bah2150_board 2 (1).pdf,bah2150,Completed,Heavyweight Bond,$36.00 ,39.20,2/7,,,kr2202,Unpaid,,,,,,,,,
hcn2109-phase3,hcn2109,Completed,Mylar,$54.00 ,58.79,2/7,,,Tito,Unpaid,,,,,,,,,
bg2464 pinup,bg2464,Completed,Mylar,$18.00 ,19.60,2/7,,,Tito,Unpaid,,,,,,,,,
mtk2127 rothstein,mtk2127,Problem: check email,Mylar,$36.00 ,39.20,2/7,,,Tito,Unpaid,,,,,,,,,
Syntax_20x20.pdf,eo2319,Cancelled: no UNI,Heavyweight Bond,,0.00,2/7,,,kr2202,Unpaid,,,,,,,,,
CoreII-Phase02-Diagram03.psd,mil2119,Cancelled: no UNI,Heavyweight Bond,,0.00,2/7,,,kr2202,Unpaid,,,,,,,,,
Phase_Two_Diagram_Final_20x20.pdf,eo2319,Cancelled: no UNI,Heavyweight Bond,,0.00,2/7,,,kr2202,Unpaid,,,,,,,,,
mil2119.CoreII-Phase02-Diagram03.ai,mil2119,Completed,Heavyweight Bond,$24.00 ,26.13,2/7,,,kr2202,Unpaid,,,,,,,,,
"eo2319_Photos.pdf, eo2319_Phase_Two_Diagram_Final_20x20.pdf, eo2319_Syntax_20x20 (2).pdf, ",eo2319,Completed,Heavyweight Bond,$36.00 ,39.20,2/7,,,kr2202,Unpaid,,,,,,,,,
"KSM2141 - SITE ANALYSIS.pdf, ",ksm2141,Completed,Lightweight Bond,$12.00 ,13.07,2/7,,,kr2202,Unpaid,,,,,,,,,
jp3368_020714_print.ai,jp3368,Completed,Heavyweight Bond,$18.00 ,19.60,2/7,,,kr2202,Unpaid,,,,,,,,,
cjb2195-SITEPLAN-OVERALL.pdf,cjb2195,Completed,Heavyweight Bond,,0.00,2/7,,,kr2202,Unpaid,,,,,,,,,
jab2364_CS_A2_Drawing.ai,jab2364,Completed,Lightweight Bond,$12.00 ,13.07,2/7,,,kr2202,Unpaid,,,,,,,,,
CS_A2_Drawing.ai,,Cancelled: no UNI,,,0.00,2/7,,,kr2202,Unpaid,,,,,,,,,
sh3253_30x30board.pdf,sh3252,Completed,Lightweight Bond,$12.00 ,13.07,2/7,,,kr2202,Unpaid,,,,,,,,,
acc2189.pdf,acc2189,Completed,Mylar,$18.00 ,19.60,2/7,,,kr2202,Unpaid,,,,,,,,,
ab3880 - PinUp1.pdf,ab3880,Completed,Mylar,$8.00 ,8.71,2/7,,,kr2202,Unpaid,,,,,,,,,
cq2160 36x48.pdf,cq2160,Completed,Mylar,,0.00,2/7,,,kr2202,Unpaid,,,,,,,,,
36X48 PLOT.pdf,cq2160,Cancelled: no UNI,,,0.00,2/7,,,kr2202,Unpaid,,,,,,,,,
Board 2 dcb2158,dcb2158,Completed,Lightweight Bond,$8.00 ,8.71,2/7,,24x36,Diana,Paid,,,,,,,,,
dyk2111_site.pdf,dyk2111,Completed,Lightweight Bond,$18.00 ,19.60,2/7,NOT ROTATED,24x36,Diana,Unpaid,,,,,,,,,
rll2165 mylar (1).pdf,rll2165,Completed,Mylar,$18.00 ,19.60,2/7,,24x36,Diana,Unpaid,,,,,,,,,
hwr2105_diagrams.pdf,hwr2105,Completed,Mylar,$9.00 ,9.80,2/7,,12x36,Diana,Unpaid,,,,,,,,,
